user_id,signup_date,user_type
212,2023-09-24,Paid
213,2023-09-06,Free
214,2023-10-17,Free
215,2023-10-22,Free
216,2023-09-05,Free
217,2023-10-02,Free
218,2023-08-09,Free
219,2023-09-01,Free
220,2023-06-03,Free
221,2023-10-26,Free
222,2023-11-11,Free
223,2023-10-25,Free
224,2023-08-29,Free
225,2023-10-25,Free
226,2023-10-26,Free
227,2023-09-04,Free
228,2023-07-22,Paid
229,2023-11-08,Free
230,2023-11-15,Paid
231,2023-10-06,Free
232,2023-07-09,Free
233,2023-08-21,Paid
234,2023-09-12,Free
235,2023-10-07,Free
236,2023-06-11,Free
237,2023-11-25,Free
238,2023-10-29,Free
239,2023-11-06,Free
240,2023-07-12,Paid
241,2023-09-07,Free
242,2023-06-07,Free
243,2023-10-22,Free
244,2023-08-29,Free
245,2023-09-20,Free
246,2023-07-30,Free
247,2023-09-21,Free
248,2023-06-02,Free
249,2023-10-07,Free
250,2023-07-18,Free
251,2023-10-18,Paid
252,2023-07-07,Free
253,2023-11-07,Free
254,2023-06-09,Paid
255,2023-09-07,Free
256,2023-10-25,Paid
257,2023-07-18,Free
258,2023-10-09,Paid
259,2023-10-26,Free
260,2023-10-30,Paid
261,2023-07-24,Free
262,2023-09-28,Free
263,2023-11-08,Free
264,2023-10-30,Free
265,2023-09-24,Paid
266,2023-08-14,Paid
267,2023-09-21,Free
268,2023-11-11,Paid
269,2023-11-13,Free
270,2023-09-12,Free
271,2023-08-23,Free
272,2023-09-20,Paid
273,2023-09-07,Free
274,2023-10-31,Free
275,2023-09-01,Paid
276,2023-10-24,Free
277,2023-10-06,Free
278,2023-09-18,Free
279,2023-08-21,Free
280,2023-07-24,Free
281,2023-11-10,Free
282,2023-11-16,Free
283,2023-11-08,Free
284,2023-08-07,Free
285,2023-07-03,Paid
286,2023-10-20,Free
287,2023-06-21,Free
288,2023-07-18,Free
289,2023-10-26,Free
290,2023-10-06,Free
291,2023-10-14,Paid
292,2023-10-13,Free
293,2023-10-23,Free
294,2023-10-06,Free
295,2023-07-03,Free
296,2023-11-23,Paid
297,2023-09-23,Free
298,2023-09-27,Free
299,2023-06-22,Free
300,2023-11-05,Free
301,2023-07-08,Paid
302,2023-09-17,Free
303,2023-07-21,Paid
304,2023-06-08,Free
305,2023-06-27,Paid
306,2023-06-27,Free
307,2023-06-21,Free
308,2023-06-30,Free
309,2023-09-05,Paid
310,2023-06-28,Paid
311,2023-09-19,Free
312,2023-07-31,Paid
313,2023-07-18,Free
314,2023-10-25,Paid
315,2023-06-04,Free
316,2023-07-05,Paid
317,2023-07-19,Paid
318,2023-06-17,Paid
319,2023-11-19,Free
320,2023-11-05,Free
321,2023-07-16,Paid
322,2023-09-25,Free
323,2023-06-06,Paid
324,2023-09-07,Paid
325,2023-10-02,Free
326,2023-07-07,Paid
327,2023-06-24,Free
328,2023-09-01,Paid
329,2023-07-16,Paid
330,2023-09-03,Free
331,2023-09-07,Free
332,2023-09-24,Paid
333,2023-11-07,Free
334,2023-11-08,Free
335,2023-08-06,Free
336,2023-10-06,Free
337,2023-06-18,Free
338,2023-06-25,Free
339,2023-07-24,Free
340,2023-07-28,Free
341,2023-08-06,Free
342,2023-09-12,Free
343,2023-11-21,Free
344,2023-06-24,Free
345,2023-09-22,Free
346,2023-07-02,Free
347,2023-11-22,Paid
348,2023-08-25,Free
349,2023-10-29,Paid
350,2023-10-05,Paid
351,2023-11-02,Free
352,2023-10-08,Paid
353,2023-06-17,Paid
354,2023-09-12,Free
355,2023-11-08,Free
356,2023-10-15,Paid
357,2023-07-13,Paid
358,2023-11-23,Free
359,2023-07-09,Paid
360,2023-11-17,Paid
361,2023-06-26,Paid
362,2023-09-07,Paid
363,2023-07-20,Paid
364,2023-10-31,Free
365,2023-10-30,Free
366,2023-06-13,Free
367,2023-07-30,Paid
368,2023-10-13,Free
369,2023-07-27,Free
370,2023-07-06,Free
371,2023-11-20,Free
372,2023-06-20,Paid
373,2023-08-04,Paid
374,2023-06-08,Free
375,2023-10-22,Free
376,2023-10-20,Free
377,2023-09-23,Free
378,2023-10-21,Free
379,2023-08-31,Free
380,2023-09-06,Free
381,2023-08-05,Free
382,2023-07-02,Free
383,2023-08-25,Free
384,2023-07-21,Free
385,2023-10-31,Free
386,2023-08-02,Paid
387,2023-10-03,Free
388,2023-10-28,Free
389,2023-07-28,Paid
390,2023-07-28,Free
391,2023-08-25,Paid
392,2023-07-19,Free
393,2023-11-27,Paid
394,2023-11-17,Paid
395,2023-08-09,Paid
396,2023-06-15,Paid
397,2023-07-24,Free
398,2023-09-09,Free
399,2023-06-08,Paid
400,2023-07-23,Free
401,2023-07-30,Paid
402,2023-09-16,Free
403,2023-06-05,Free
404,2023-09-11,Free
405,2023-06-06,Free
406,2023-09-17,Free
407,2023-09-24,Free
408,2023-09-02,Free
409,2023-07-17,Free
410,2023-09-07,Free
411,2023-07-25,Paid
412,2023-11-15,Free
413,2023-07-22,Free
414,2023-10-22,Free
415,2023-06-13,Paid
416,2023-09-22,Free
417,2023-10-02,Paid
418,2023-09-14,Paid
419,2023-11-05,Free
420,2023-10-25,Free
421,2023-10-23,Free
422,2023-09-28,Free
423,2023-08-02,Free
424,2023-06-19,Paid
425,2023-08-31,Free
426,2023-07-28,Free
427,2023-08-29,Free
428,2023-09-25,Paid
429,2023-08-01,Free
430,2023-06-23,Free
431,2023-10-05,Paid
432,2023-10-15,Paid
433,2023-10-18,Free
434,2023-10-07,Free
435,2023-07-28,Paid
436,2023-09-30,Free
437,2023-06-01,Free
438,2023-07-04,Free
439,2023-09-04,Free
440,2023-10-04,Paid
441,2023-09-26,Paid
442,2023-07-18,Free
443,2023-08-28,Free
444,2023-09-25,Free
445,2023-10-07,Free
446,2023-06-16,Paid
447,2023-08-08,Free
448,2023-06-22,Free
449,2023-09-01,Free
450,2023-08-15,Free
451,2023-11-01,Free
452,2023-10-22,Paid
453,2023-11-26,Free
454,2023-08-25,Paid
455,2023-06-29,Free
456,2023-08-08,Free
457,2023-07-17,Free
458,2023-09-02,Paid
459,2023-10-22,Paid
460,2023-11-23,Free
461,2023-08-24,Free
462,2023-07-09,Paid
463,2023-09-08,Free
464,2023-07-03,Free
465,2023-09-09,Paid
466,2023-06-23,Free
467,2023-06-10,Free
468,2023-08-08,Free
469,2023-09-08,Free
470,2023-07-04,Free
471,2023-11-27,Paid
472,2023-10-16,Free
473,2023-10-25,Free
474,2023-09-04,Free
475,2023-06-01,Free
476,2023-08-08,Paid
477,2023-06-04,Free
478,2023-06-16,Free
479,2023-06-24,Paid
480,2023-08-19,Free
481,2023-06-02,Free
482,2023-10-06,Free
483,2023-11-07,Free
484,2023-08-23,Free
485,2023-10-30,Free
486,2023-10-18,Paid
487,2023-11-25,Free
488,2023-11-10,Free
489,2023-10-02,Free
490,2023-07-03,Free
491,2023-11-08,Paid
492,2023-11-26,Free
493,2023-11-18,Free
494,2023-09-09,Paid
495,2023-06-12,Free
496,2023-08-06,Free
497,2023-08-04,Free
498,2023-11-08,Free
499,2023-11-15,Paid
500,2023-08-13,Free
